-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal .   Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls .   While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .
This is the dramatic moment a fireman risked his own life to grab the arm of a woman who was attempting to throw herself off the ledge of a 10-storey Chinese tower block .   The video - filmed by a passer-by in Shanghai - shows the young woman dangling off the ledge having apparently threatened to jump , reports People 's Daily Online .   Police had failed to convince the woman - who was depressed after being dumped by her boyfriend - to climb back into a nearby apartment while firefighters on the street below prepared a ladder to try to reach her .   But before the ladder could be used the woman became more agitated and suddenly lowered herself on to the edge of the concrete ledge .
Jurgen Klopp has told Borussia Dortmund he wants to quit at the end of the season , according to reports in Germany .   The 47-year-old manager believes he has taken the Bundesliga club as far as he can and wants a new challenge after a year off .   The club have called a press conference for Wednesday at 12.30 pm .   Martin Samuel on why Premier League clubs should be trying to entice Klopp
The onetime rising Republican star made the argument in a 54-page brief in the 4th U.S. Circuit Court of Appeals .   A three-judge panel of the court will conduct a hearing on his appeal of his public corruption convictions on May 12 .   McDonnell and his wife , Maureen , were convicted in a joint trial in September of accepting more than $ 165,000 in gifts and loans from former Star Scientific Inc. .   Bob McDonnell was sentenced to two years in prison and his wife to one year and one day , but they remain free while they pursue separate appeals .
An Ohio couple have been found dead in an apparent murder-suicide in their stateroom aboard a Holland America cruise ship docked in Puerto Rico .   The unidentified man and woman were in their 50s and from Cleveland , police Sgt. Ricardo Cruz told The Associated Press .   Cruz said blood was found in the cabin aboard the MS Ryndam , but it was unclear how the couple died .   He said the ship 's cleaning crew found the bodies when they checked on the couple after not seeing them for a while .
A Washington high school teacher is being hailed a hero for tackling a 16-year-old student to the ground after he opened fire on Monday morning .   No one was injured after the boy shot twice toward the ceiling in the school commons before classes began at North Thurston High School in Lacey , about 60 miles southwest of Seattle , authorities said .   Brady Olson , who teaches Advanced Placement government and civics at the school , knocked the armed student to the ground and kept him pinned down until authorities arrived , witnesses said .   The shooter is in custody at the Lacey Police Station .
The firm 's latest update automatically shows the latest pictures posted to Facebook 's site .   Tinder also said it had improved its mutual friends feature .   Tinder only displays the last 34 photos , users can venture out to the app for a look at the full library .   The firm has also used Facebook to boost its ` mutual friends ' feature .
Moors murderer Ian Brady has revealed he is a Ukip supporter and thinks David Dimbleby is an ` establishment dumpling ' .   The 77-year-old wrote the letters from his bed at Ashworth psychiatric hospital in Merseyside .   Brady was jailed for life in 1966 after torturing and killing five children with his then-girlfriend Myra Hindley .   It comes four months after Brady - who has to use a Zimmer frame to move around - wrote a letter to a Channel 5 News correspondent , in which he expressed no remorse for his killings .
They are some of the earliest holiday snaps of the Chinese capital -- taken between 1900 and 1911 during the Qing dynasty -- and they show landmarks almost devoid of visitors .   The quiet scenes are a far cry from modern-day Beijing , which is one of the most populous cities in the world and visited by tens of millions of domestic and international tourists every year .   The extraordinary black and white photos show locals and foreigners posing at the Temple of Heaven , standing next to giant statues at the Western Qing Tombs and riding on boats at the Summer Palace .   The origin of the photos is not known .
A man deliberately drove his car straight through the front doors of a police station - and then managed to escape the scene in the damaged vehicle .   The 42-year-old man allegedly threw a wheel spanner at a night security patrol car before recklessly driving his dark blue Ford Falcon ute at full speed towards the Harts Range police station just before 10pm on Sunday .   Fortunately the station , which is remotely located about 240km northeast of Alice Springs in the Northern Territory , was vacant at the time of the incident before the culprit managed to escape in the smashed-up car .   Territory Duty Superintendent Brendan Muldoon said police are looking for a 42-year-old male who was agitated and driving in a reckless manner .
For the first time in the annals of boxing -- as Floyd Mayweather and Manny Pacquiao step on the scales next Friday -- fans will be charged for admission to a weigh-in .   This formality for checking that combatants weigh no more than the stipulated poundage for each division started to become an event in its own right in 2007 when Ricky Hatton went to Las Vegas to take his Man Of La Mancha tilt at the Mayweather windmill .   No fewer than 30,000 of the Manchester Hitman 's army followed him across the Atlantic and thousands of them turned up for the weigh-in .   The atmosphere was electrified when Hatton yelled ` let 's be having him ' as Mayweather was about to follow him onto the stage .
Hillary Clinton 's now-famous Scooby Doo van made an appearance in Council Bluffs , Iowa on Thursday for a closed-door meeting with state Democratic Party officials -- and it idled in a handicapped parking space from beginning to end .   Footage broadcast by KETV-7 in the nearby city of Omaha , Nebraska , showed the presidential nominee emerging from a cafe , greeting onlookers and walking past the blue handicapped-parking sign to climb into the vehicle .   Secret Service agents are technically federal law enforcement officers , so there was no chance of a parking ticket , even if Scooby had been left unattended .   KETV trailed Clinton to the Main Street Cafe in Council Bluffs , and spoke to Pottawattamie County Democratic Chairwoman Linda Nelson .
A 33-year-old woman on trial for having sex with a male inmate at Washington County Jail six times over four months while working as a services technician cried in court Wednesday as a judge rejected her request to use an insanity defense .   Brett Robinson will now stand trial next week on 12 charges related to sexual misconduct and official misconduct , on allegations that she let the inmate out of his cell multiple times and engaging in sex acts between March and July last year .   Robinson was hoping to present a psychologists report as evidence of mental disease or defect .   The report said she was suffering from mental illness at the time of the alleged encounters and that it made her ` vulnerable , passive and gullible ' .
Environmental activists rescued 40 crew from a sinking ship it suspected of conducting illegal fishing near the island of Sao Tope , off the Gabon coast .   The Nigerian-flagged Thunder was being tracked by activists from the charity Sea Shepherd , who believed it was engaged in illegal fishing .   The Thunder 's captain and crew manned life rafts late on Monday after the ship was scuttled .   Sea Shepherd 's vessels Bob Barker and Sam Simon rescued the men from the ocean .
Guests attending a service in London to mark the 200th anniversary of the Battle of Waterloo have been told not to act in a ` triumphalist ' way -- to avoid upsetting the French .   Invitations to the service at St Paul 's Cathedral advise that it will avoid glorifying the Duke of Wellington 's historic victory over Napoleon in 1815 .   But last night the move was criticised by politicians , who said it ` took political correctness to an absurd new degree ' .   Napoleon was responsible for between three million and 6.5 million deaths .
Doctors have condemned a social media campaign which accuses mothers who have a caesarean as being ` too lazy to have a baby ' .   The image , which is believed to come from a firebrand American religious group called ` The Disciples of the New Dawn ' in the U.S , has been circulating on mother 's groups in Australia .   University of Sydney 's Professor of Gynecology Hans Peter Dietz told Daily Mail Australia the image represents a broader anti-caesarean sentiment which has harmful consequences for women who should be choosing caesareans for health reasons .   ` They are suggesting that it 's the woman 's own fault if she need a caesarean .
Britain 's five highest-earning NHS dentists are paid average salaries of # 690,000 a year .   The sum is almost five times the Prime Minister 's # 142,500 pay packet -- and comes as thousands of patients struggle to get on the books of NHS practices .   A further 11 dentists were paid between # 400,000 and # 500,000 and a total of 177 received more than # 200,000 .   More than 1,600 pocketed # 100,000 - # 200,000 .
A teenager with a deadly brain tumour has raised the majority of $ 80,000 needed to fund his life-saving surgery .   With less than a day left to go before he is due to be operated on , 18-year-old Jackson Byrnes from Northern New South Wales has accumulated close to the target on hisGoFundMe page .   Three weeks ago Mr Byrnes was told by doctors that he had a stage four brain tumour that was too deep and aggressive to be safely operated on .   Refusing to accept the dismal diagnosis , his family took matters into their own hands and found the only Australian neurosurgeon to perform the risky operation .
Chris Ramsey has hailed Tony Pulis as one of the best British coaches in the country , but insists he does n't need to take any tactical tips from the experienced relegation dodger .   Ramsey 's QPR , who face Pulis 's West Brom at the Hawthorns on Saturday , are 19th in the Barclay 's Premier League table -- four points adrift of Sunderland in 17th .   The R 's have taken just four points since the turn of the year and could do with a season climax reminiscent of Pulis 's 2013-14 campaign with Crystal Palace , in which they took 17 points from their final eight games to avoid the drop .   Indeed , Pulis was linked with the vacant QPR managerial post after Harry Redknapp 's departure in February , but many of the Loftus Road faithful turned their noses up at his perceived long-ball tactics .
Brendan Rodgers has come out fighting after suffering Wembley disappointment and insisted he is the right man to lead Liverpool next season .   Another trophyless season is nearing an end after losing to Aston Villa but Rodgers said : ' I do n't think there is anyone better .   Liverpool have been putting in the hard yards on the Melwood training pitch in a bid to ensure they hit back from their FA Cup nightmare when they take on West Bromwich Albion in the Premier League on Saturday .   The Reds welcome Adam Lallana back to the fold for the game against Tony Pulis ' team while Jordan Henderson is set to make his first appearance since signing a new five-year deal at the club .
A former immigration consultant attempted to lure female clients into his home to perform sexual favours for him , a court has heard .   Hakaoro Hakaoro was sentenced to 20 months in jail in January 2014 for working without a licence .   This week the 55-year-old has been found guilty of six new complaints by the Immigration Advisors Disciplinary Tribunal .   The shocking new allegations include inviting women into his house to enter a sexual relationship with him as well asking them to carry out household duties , reports NZ Herald .
According to specialist travel agency Planet Cruise , women regret their career choices more so than men .   Just under half -LRB- 47 per cent -RRB- of women aged over 55 expressed disappointment over their decisions , compared to just 40 per cent of men .   More alarming is the fact that nearly half of women -LRB- 47 per cent -RRB- surveyed admitted that they have suffered from a mental illness or negative feelings towards their roles .   Furthermore , one in five over-55s surveyed admitted to feelings of depression due to a missed opportunity at work .
### NO MATCH FOUND ###
Rare and valuable pieces of meteorite have fallen to Earth from a gigantic fireball that lit up the skies over Britain and Ireland , experts say .   The fireball was captured on camera on Sunday by the United Kingdom Meteor Observing Network -LRB- UKMON -RRB- in Portadown , County Armagh .   UKMON said that pieces from the meteorite , which came from an asteroid in orbit between Mars and Jupiter , would have crashed to Earth and could potentially be worth thousands of pounds .   However , the group 's initial analysis of its trajectory , based on the 50 sightings that were reported to it , suggests that it may well have fallen into the Irish Sea .
Looking radiant , Daphne Selfe , 86 , shows off the collaboration between the footwear super-brand and the ethereal high street store with uncompromising grace .   Daphne said of the collection , in which she appears with 22-year-old Flo Dron : ` The & Other Stories ' collection that is featured in this story is truly relaxed and timeless with a modern twist , all in lovely colours . '   The images show the new footwear which sees Stories make a twist on the classic vans slip on .   At the time of the interview in 2011 Daphne , from Baldock , Hertfordshire , was still commanding # 1,000 per day for her work .
Traitor Edward Snowden has revealed he did not read all the top-secret intelligence documents he leaked -- a move which put lives at risk from terrorists .   In a television interview the fugitive squirmed as he admitted only ` evaluating ' the files stolen from GCHQ and the US National Security Agency .   The former US spy also acknowledged there had been a ` f *** - up ' when newspapers that were handed the classified material failed to redact sensitive details exposing operations against Al Qaeda .   The 31-year-old stunned the world in June 2013 -- less than a month after the murder of Lee Rigby by Islamic extremists -- when he broke cover as the civilian CIA worker who stole classified documents .
The guests are in a big tent used for functions on the lawn .   There 's very little power in the city -- no power to speak of , no drinking water .   Food will become the biggest concern in the coming days .
Nicola Sturgeon is most definitely the most dangerous woman in Britain .   Not because she might well cosy up to Ed Miliband and keep David Cameron out of office , but because she is living proof that women become sexier with age , income and office .   While in 2001 she dressed according to the Angela Merkel school of leadership -- a boxy , androgynous look from a woman who had lost her waist along with her sanity , topped and tailed with a Krankies haircut and orthopaedic shoes -- today she has shed pounds , bleached her hair , squeezed her feet into Kurt Geiger heels , and for the leaders ' debate last week , rocked a coral two-piece by the aptly named Scottish design label Totty Rocks .   She also eclipsed Plaid Cymru 's Leanne Wood -LRB- too feminine -RRB- and the Greens ' Natalie Bennett -LRB- too hemp -RRB- .
The image of Wembley , which overlooked his estate growing up , is clear amid a cluster of tattoos .   Rather than those two famous towers , synonymous with the national stadium for 77 years , it is the arc , unveiled in 2007 , that is unmistakable .   Back then , Sterling was a young kid dreaming of a career in professional football , playing jumpers for goalposts on streets and in parks .   Sterling is now in position to reject contract offers of # 100,000 per week from Liverpool , confident enough to express his views to the BBC without the knowledge of his club .
UEFA has opened a real can of worms by ordering the final 18 seconds of the European Women 's Under 19 Championship qualifier between England and Norway to be replayed following a refereeing error .   However , FIFA did something similar during a 2006 World Cup qualifier .   Back in 2005 Uzbekistan were playing Bahrain in the Asian zone fourth-round play-off first leg when Japanese referee Toshimitsu Yoshida incorrectly awarded an indirect free-kick to Bahrain after the Uzbeks had encroached at their penalty kick when 1-0 up .   Final 18 seconds of England match to be replayed after ref disallowed penalty for encroachment ... and gave indirect free-kick instead .
A young waitress has claimed that England footballer Aaron Lennon grabbed her , slapped her and ripped her top as he partied in the VIP suite of a nightclub .   The 18-year-old reportedly fled to the toilet in tears and afterwards told police that the # 55,000-a-week Tottenham winger had left her with a bruise below her eye .   The 28-year-old , who is on loan to Everton , was reportedly interviewed by officers under caution over the alleged assault earlier this month .   After taking part in Everton 's 1-0 win at home against Southampton on April 4 , Lennon is thought to have headed to Suede nightclub in Manchester with friends .
A New York City skin clinic 's popular new laser treatment promises to tighten skin and improve complexion - if clients are brave enough to sign a waiver releasing their personal information to a funeral director and a coroner first .   Manhattan-based Skin Laundry says that after just ten minutes , their Light and Laser procedure will leave your skin ` glowing ' , while also promising that long-term use will reduce wrinkles , clear acne , and minimize scarring .   With these claims , the quickie treatment seems perfect on paper - unless that paper is in the mandatory eight-page contract that one client told the New York Post was like ' a Dickens novel ' , and includes wording that prepares for the possible death of the client .   But that has n't stopped skin-obsessed New Yorkers from flocking to the Manhattan location .
Rangers kept the pressure on Hibernian in the race for second spot in the Championship with a comfortable 4-0 win over Raith Rovers .   Hibs had secured a win over Hearts in the Edinburgh derby in the earlier kick-off and the Light Blues knew they had to respond .   They bounced back from Thursday 's defeat by Queen of the South , with Nicky Clark and Haris Vuckic claiming a goal apiece and Nicky Law grabbing a double .   Stuart McCall had suffered his first defeat as Rangers manager against Queens last week .
Floyd Mayweather has commissioned a mouthguard not only imbedded with his usual diamond and gold bling but stuffed with $ 100 bills .   Total cost , according to his favourite website TMZ , is $ 25,000 .   As the value of the richest fight of all time keeps rising ever closer to the half-billion mark , so does the value of Manny Pacquiao 's target .   Mayweather has just spent $ 300,000 on yet another vehicle , according to his favourite website TMZ .
Four years ago , a shopping trip was torture for Angela Kelly , 67 .   Though still a super-fit events organiser , the former over-50s All England badminton mixed doubles champion was reduced to hobbling at a snail 's pace , hanging onto her trolley for support .   It may sound as though Angela was struggling with a debilitating disease or catastrophic accident .   In fact , she was suffering from the painful legacy of a lifetime wearing high heels .
Charity runners taking part in a 10km fun run at the weekend were left exhausted after being sent on an unscheduled two-mile detour .   The blunder was believed to have been caused by a race marshal taking a toilet break during the event , missing 300 runners who should have been directed at a junction point .   Instead they continued past the unmanned marshall point and had to run for an extra three kilometres while the other 900 competitors followed the correct route .   The bizarre gaffe happened during yesterday 's Bournemouth Bay Run and today the organisers - Bournemouth Borough Council - appealed for those who were affected by the mix-up to contact them for a ` gesture of goodwill . '
Here are some of the places daredevil holidaymakers should visit if they are looking to take in mind-bending views .   Toronto 's CN Tower is one of Canada 's most recognisable tourist attractions and has been thrilling visitors for nearly 30 years .   At 1,815 ft it is the third tallest tower in the world and was once classified as one of the Seven Wonders of the Modern World by the American Society of Civil Engineers .   The transparent horseshoe-shaped cantilever bridge is nearly 4,000 ft above the floor of the Grand Canyon .
It proved too much too soon for Paris Saint-Germain 's David Luiz as the Brazilian was prematurely brought back from injury to replace countryman and captain Thiago Silva in the first half against Barcelona .   What ensued was a night to forget for the former Chelsea man as he encountered ex-Liverpool ace Luis Suarez in an especially audacious mood for the Catalans , who take a 3-1 lead to the Nou Camp after the Uruguayan 's deadly double .   With his side already 1-0 down through the imposing combination of Lionel Messi and Neymar , the night went from bad to worse when Luiz pulled up his socks to take the pitch after 21 minutes .   Unfortunately for Luiz , both of the Uruguayans goals came about after Suarez cheekily nutmegged him and , unsurprisingly , internet jokers had a field day .
Chris Ramsey believes three wins from the last five games will be enough to secure Queens Park Rangers ' top flight status .   Rangers are in the drop zone of the Barclays Premier League with 28 points as they prepare for a London derby at home to West Ham .   ` If you win three games you 're probably going to stay up , ' said Ramsey .   He believes QPR 's chances of achieving these victories from games against West Ham , Liverpool , Manchester City , Newcastle and Leicester will hinge on their an ability to kick the habit of conceding late goals , like the one which turned a draw into defeat on their last outing against Chelsea .
An Arnhem TV station has lost one of its expensive drones after a chimpanzee managed to knock it out of the sky .   The craft was supposed to be capturing footage of the Royal Burgers Zoo chimp enclosure for a TV show .   The incident happened during filming for a reality show set in the zoo .   Programme makers had hoped to use the drone to capture the enclosure from above .
A Missouri family has bee reunited 49 years after a mother was falsely told her daughter had died at the hospital just hours after being born .   For the first time , Zella Jackson Price , 76 , and Melanie Diane Gilmore , 49 , met in-person at Price 's Olivette home .   When Price gave birth at Homer G. Phillips Hospital so many years ago , she was told shortly after delivery that the infant had died .   But Gilmore was alive and for an unknown reason adopted by another family .
It has been linked to deaths across the country and left others critically ill .   Now New York Governor Andrew Cuomo has issued a state health alert that the synthetic marijuana product known as ` Spice ' is sweeping the city , and that 160 people have been hospitalized in nine days after using the drug .   Over 120 of those people were admitted to Emergency Rooms in the same week .   The cannabinoid , also commonly called ` K2 ' or ` Mojo ' , is predominantly abused by teenagers and typically sold over-the-counter as incense or potpourri .
The Red Cross hopes to bring vital medical supplies and aid workers into Yemen after receiving approval from the Saudi-led military coalition , an ICRC spokeswoman said .   The aid agency has been negotiating for a week to deliver life-saving supplies and equipment to Yemen , where the coalition has conducted 11 days of air strikes against Iran-backed Shi'ite Houthis .   The coalition now controls the country 's ports and air space .   The UN last week said that more than 500 people had been killed in two weeks of fighting in Yemen .
### NO MATCH FOUND ###
A self-confessed neo-Nazi who allegedly shot dead his gay supervisor was forcibly removed from court on Thursday after swearing at the judge and flipping over a table .   The outburst unfolded as Kenneth Morgan Stancil III , 20 , made his first appearance at the Wayne County Courthouse in Goldsboro , North Carolina after being extradited from Florida .   He is accused of shooting 44-year-old Ron Lane at Wayne Community College on Monday morning before fleeing more than 500 miles south .   He was arrested sleeping on Daytona Beach on Tuesday .
A mother set up a fight between her 13-year-old daughter and a 14-year-old girl , drove her child to meet her and then encouraged them to brawl , according to police .   Two bystanders recorded the fight on their cell phones as Tabitha Anne Bennett allegedly shouted at her daughter to take swings at the older girl in New Port Richey , Florida .   Bennett , who is unemployed , was arrested and charged with child abuse , assault and battery offenses , Pasco County Sheriff 's officials said .   She is accused of sending a Facebook message to the older girl on April 12 and telling her that she was going to bring her daughter to fight the girl , according to an affidavit .
The 36-year-old is gearing up for his $ 300million welterweight showdown with Floyd Mayweather on May 2 - in what is set to become the richest bout in boxing history .   But the Philipine star took time out of his preparation to thank American film director Spike Lee and Tito Mikey for their support so far .   ` Hello to all my fans in New York and thank you to Spike Lee and Tito Mikey for supporting Team Pacquiao , ' Pacquaio said via Instagram on Thursday . '   The duo are just the latest to show their support for the ` Pac-man ' ahead of his fight against Mayweather at the MGM Grand in Las Vegas next month .
Luis Suarez says he nutmegged Paris Saint-Germain defender David Luiz twice because it was his quickest way to goal .   The Barcelona forward scored a brace in his side 's 3-1 win over PSG in the Champions League quarter final to put the Spanish side firmly in control in the tie .   The double on Wednesday night took his tally to 17 goals for Barca this season and 11 in his last 11 games .   Neymar put Barca ahead before Suarez struck his first goal of the night , threading the ball between Luiz 's legs at pace , holding off a challenge from Maxwell and firing home .
A 46-year-old man was sentenced to life in prison on Monday after shooting dead a father and son because they were related to a driver who killed his nine-year-old sister in a crash 45 years ago .   Alfred Guy Vuozzo swore loudly as he was told he would not be eligible for parole for 35 years for murdering Brent McGuigan , 68 , and his son , Brendon , 39 , on Prince Edward Island last August .   Vuozzo was two years old when his older sister , Cathy , was killed in a crash in 1970 .   Brent 's father , Herbert , who was behind the wheel , later received a nine-month sentence for dangerous driving .
These rusting ` ghost ' ships are the last remnants of what was once the United States ' National Defense Reserve Fleet , set to protect and serve in the hour of need .   The NDRF was set up in the wake of the Second World War , and at its peak in the 1950s , the fleet consisted of nearly 2,280 ships moored across the United States .   But as the need for the fleet has diminished , so has the number of vessels , and today , just over 120 ships remain , posing a risk to the environment in the bays where they are moored .   At its height in 1950 , the NDRF consisted of 2,277 ships at eight anchorage sites : James River , Virginia ; Beaumont , Texas ; Suisun Bay , California ; Stony Point , New York ; Wilmington , North Carolina ; Mobile , Alabama ; Astoria , Oregon ; and Olympia , Washington .
Confusion over Ukip 's immigration policy grew yesterday after Nigel Farage called for the number of arrivals into Britain to be limited at 50,000 a year .   But at the same time he claimed that overall caps on net migration -- as pledged by the Tories -- would be ` ludicrous ' because it was impossible to stop people leaving the country .   Ukip 's manifesto chief later added to the confusion by saying the 50,000 limit ` might change every year ' .   The Conservatives accused Mr Farage of ` making up his policies as he goes along ' -- but Mr Farage has denied his party has made any U-turns on immigration .
A fight over stolen vegetables may have led to a British expat being murdered and dumped at the bottom of a well , French police fear .   The macabre theory has been outlined by detectives investigating the killing of David King , a 70-year-old pensioner from Newham , east London , who retired to Normandy 15 years ago .   His body was found by sniffer dogs last week in the picturesque hamlet of Pierres , south-west of Caen , and an unnamed 28-year-old Frenchman has been charged with his murder .   The alleged killer was living rough in the area , and is thought to have been behind a number of thefts in the area .
A rare Bentley which has lain gathering dust for years has been bought for almost four times its estimated value - but still needs a full restoration .   The 1954 Bentley R-Type Continental Fastback was estimated to sell for around # 200,000 by auctioneers but ended up being sold for # 739,212 - a record for the auction house .   Originally commissioned by Welsh racing driver R D Weatherall and painted in his racing colour of purple - the license plate still bears his initials .   More than 45 people placing bids on behalf of bidders from around the world in the room , over the phone and on the internet .
Dozens of Jet Airways passengers experienced some frightening moments today when a plane 's landing gear appeared to collapse as it touched down at an airport in India .   The plane , carrying 59 passengers and eight crew members , tilted to one side and its left engine scraped along the runway in Khajuraho .   The crew ordered an evacuation after the Boeing 737-800 came to a stop , and passengers slid down the plane 's inflatable slides to safety .   In statements posted on Twitter , Jet Airways described it as ` a technical problem with the landing gear ' and said reports of a fire are untrue .
Family and friends who travelled from around the world for an Australian bride 's wedding instead face having to attend her funeral after she was allegedly murdered just a week before her big day .   Stephanie Scott , 26 , was due marry her partner of five years , Aaron Leeson-Woolley , in front of 120 guests in a small town in New South Wales this Saturday .   But the English and drama teacher vanished on Sunday while excitedly making final preparations for the wedding .   Now police have charged a man with her murder despite not having found her body , leaving her loved ones with the devastating task of continuing the search and making funeral arrangements .
Justine Miliband fell in love with her husband Ed after she was attacked by a Doberman while canvassing on his behalf - even though she had been ` furious ' with him after a bungled first date .   Mrs Miliband , 44 , has revealed that she first met the Labour leader at a dinner party hosted by a mutual friend and thought he was ` good looking ' and ` unattached ' .   But the Labour leader failed to tell his future wife that he was secretly going out with their ` mutual friend ' - understood to be the former BBC economics editor Stephanie Flanders .   The mother-of-two was campaigning with her husband in the north west at several events .
Arsenal manager Arsene Wenger has said he hopes Burnley escape relegation after seeing his side have to fight to gain a narrow 1-0 victory at Turf Moor .   Wenger has been praised by Burnley boss Sean Dyche this season and last night the Gunners boss repaid the compliment by saying : ` It would be a shame for Burnley to go down . '   Arsenal were made to fight hard for their eighth win in a row and Wenger said : ' I understand now why they took points from other teams like Chelsea and Manchester City .   Burnley have won only once in 11 games , a famous 1-0 victory against City , but Dyche still believes they can escape the drop .
A militant group which opposes both ISIS and the Syrian regime has released a striking video showing off 1,700 troops , fleet of armoured tanks and special forces soldiers in an impressive military parade .   These men form a small part of Jaysh Al-Islam - or Army of Islam - who reportedly command as many as 25,000 loyal fighters following the merger of up to 60 rebel factions inside Syria .   Dozens of masked special units show off a range of skills including close-range combat in what the group claims is the ` largest military parade witnessed ' since the dawn of the Syrian revolution in 2011 .   The group operates in the embattled Syrian city of Damascus and their ongoing battle against President Bashar Al-Assad is reportedly funded by the wealthy nation of Saudi Arabia .
According to the ABC , the largest of the stations is Anna Creek Station in South Australia which covers an enormous 23,000 square kilometres .   The eleven cattle farms cover over 100,000 square kilometres and are being sold by the family business S. Kidman and Co. .   All of the farms include the original equipment as well as the stock which is a beneficial deal with the 11 properties currently have 155,000 branded cattle with 30,000 more calves on the way .   Western Australia offers Innamincka , Macumba and Tungali in South Australia ; Helen Springs in the Northern Territory and Ruby Plains .
Jurgen Klopp is to step down as Borussia Dortmund manager this summer .   The 47-year-old German will seek a new challenge with a move to the Premier League likely .   Klopp and Dortmund chief executive Hans-Joachim Watzke confirmed in a press conference reports that he will officially leave at the end of June after seven successful years at the club .   Martin Samuel on why Premier League clubs should be trying to entice Klopp
Now the Green party has set it to music , with a new election advert featuring David Cameron , Nick Clegg , Ed Miliband and Nigel Farage forming a bizarre pro-austerity boyband .   The video , complete with dry ice , glittering podiums and the obligatory key change , is designed to show that despite their claims to the contrary , the Tories , Lib Dems , Labour and Ukip are all singing the same tune on cuts , public services and immigration .   The song , Change The Tune , features comedians playing the four party leaders forming a boyband called Coalition .   According to the Green party , the quartet ` sing in harmony about their shared love of austerity and fondness for fracking ' .
Since Herman Melville penned his novel Moby Dick more than 150 years ago , scientists have been fascinated by the remarkable attributes of the sperm whale and its kin - the smaller pygmy and dwarf whales .   Now , fossils from an extinct pygmy sperm whale that died seven million years ago , have shed new light on the evolution of modern day whales .   The remains , which were discovered in Panama , indicate that the organ involved in sound generation and echolocation got smaller throughout the whale 's evolution .   The well-preserved skulls of two individuals were unearthed at a sea cliff along the Caribbean coast of Panama .
Teachers are set to call for ` play in the curriculum ' for schoolchildren up to seven as this is more suitable than educating them in a formal way .   Many children are not ready to sit down and do reading , writing and maths when they start school at the age of four or five , according to the National Union of Teachers -LRB- NUT -RRB- .   At its annual conference in Harrogate , it will say schools should follow the lead of countries like Finland and introduce 45-minute lessons immediately followed by 15-minute play times .   It is also likely to say lunch and break times are being used for ` coaching and cramming ' , depriving youngsters of their ` fundamental human right to play ' with their classmates .
A mother-of-two lost more than ten stone after she became concerned that her size was causing her to look like a man .   Kim Callaghan , 39 , piled on the pounds after the birth of her two children , reaching a worrying 20st 3lb .   However , the determined slimmer has now shrunk down to a slender 9st 10lb after taking up exercise and swapping starchy meals for smaller portions .   Kim 's weight loss saw her drop an incredible ten dress sizes to slim down to a slinky size eight .
But now a study says it 's not an instrument at all - but rather , simply a bone chewed by hyenas and left in a cave .   The research suggests historians have been fooled by these phoney objects - and , in fact , all such ` instruments ' attributed to Neanderthals are simply chew toys of animals .   The latest analysis was conducted by Dr Cajus Diedrich from the Paleo-Logic Independent Institute of Geosciences .   In a paper published in the Royal Society of Open Science , he took a look at several ` musical instruments ' that had been attributed to Neanderthals .
Carl Froch will be a keen observer when Julio Cesar Chavez Jnr returns to the ring after a year-long absence .   Froch had hoped to take on the Mexican this month in Las Vegas but a shoulder injury forced the Nottingham world champion to pull out .   Instead , Chavez faces Andrzej Fonfara at a catchweight of 172lb on Saturday night but has said he is open to facing the Brit later this year .   ` Chavez is back in action and hopefully he 'll do the business .
UEFA have set a potentially dangerous precedent by ruling that the final 18 seconds of England Women 's U19 European Championships qualifier against Norway will be replayed after a refereeing mistake .   The Elite Round Group 4 qualifier will be restarted at 9:45 pm at Seaview stadium in Belfast on Thursday with the match resuming with England retaking a penalty in the 96th minute at 2-1 down .   England 's 3-1 Group 4 victory against Switzerland on Thursday afternoon means the Young Lionesses will qualify for the European Championships if the penalty is scored and the match is drawn 2-2 .   Jenna Dear scored twice at the Seaview Stadium while Leah Williamson , who is set to take the last minute spot-kick against Norway , earned some practice as she scored past Swiss goalkeeper Tania Chassot from 12-yards .
Javier Hernandez would have been in no doubt how important his decisive goal for Real Madrid was in the Champions League quarter-final against city rivals Atletico Madrid after the entrance the squad made to the Santiago Bernabeu .   French defender Raphael Varane uploaded an astonishing video to Twitter of the fire-hot arrival Madrid 's players were given from their supporters , who mobbed the team coach and banged on the windows in support and anticipation .   ` Live from the bus before the match !   VIDEO - Scroll down to see Real Madrid 's welcoming from their fans
